message number,latency (usec),message size,interval (usec),
1035,2339.5,4,100000,
1036,2033,4,100000,
1037,2728.5,4,100000,
1038,2497,4,100000,
1039,2188.5,4,100000,
1040,2860,4,100000,
1041,2576.5,4,100000,
1042,2331.5,4,100000,
1043,2046,4,100000,
1044,2731.5,4,100000,
1045,2493.5,4,100000,
1046,2198.5,4,100000,
1047,2917,4,100000,
1048,2636,4,100000,
1049,NULL,4,100000,
1050,2288.5,4,100000,
1051,2814,4,100000,
1052,2516.5,4,100000,
1053,2228,4,100000,
1054,2958.5,4,100000,
1055,2677,4,100000,
1056,3348.5,4,100000,
1057,2084,4,100000,
1058,2810,4,100000,
1059,2515,4,100000,
1060,2307.5,4,100000,
1061,1964.5,4,100000,
1062,2678,4,100000,
1063,2390.5,4,100000,
1064,2109,4,100000,
1065,2828,4,100000,
1066,3545,4,100000,
1067,3257.5,4,100000,
1068,2014.5,4,100000,
1069,2693,4,100000,
1070,2600,4,100000,
1071,2173,4,100000,
1072,1869.5,4,100000,
1073,2541.5,4,100000,
1074,2321.5,4,100000,
1075,2025.5,4,100000,
1076,2728,4,100000,
1077,2403.5,4,100000,
1078,2169.5,4,100000,
1079,2824.5,4,100000,
1080,2597.5,4,100000,
1081,2337,4,100000,
1082,2155.5,4,100000,
1083,2742,4,100000,
1084,2642.5,4,100000,
1085,2145.5,4,100000,
1086,2879,4,100000,
1087,2580.5,4,100000,
1088,2308,4,100000,
1089,3158,4,100000,
1090,3215.5,4,100000,
1091,3435,4,100000,
1092,2150,4,100000,
1093,2865,4,100000,
1094,2585.5,4,100000,
1095,2279.5,4,100000,
1096,1973,4,100000,
1097,2693.5,4,100000,
1098,2438,4,100000,
1099,2157.5,4,100000,
1100,2983,4,100000,
1101,2664.5,4,100000,
1102,2340.5,4,100000,
1103,2076.5,4,100000,
1104,2763,4,100000,
1105,3506,4,100000,
1106,2515.5,4,100000,
1107,2909.5,4,100000,
1108,2584,4,100000,
1109,2296,4,100000,
1110,3093,4,100000,
1111,2767.5,4,100000,
1112,2500.5,4,100000,
1113,2215.5,4,100000,
1114,2913.5,4,100000,
1115,2584.5,4,100000,
1116,2289,4,100000,
1117,3003.5,4,100000,
1118,2725.5,4,100000,
1119,2483,4,100000,
1120,2205.5,4,100000,
1121,2890.5,4,100000,
1122,2590,4,100000,
1123,2350,4,100000,
1124,3029,4,100000,
1125,2742,4,100000,
1126,2506.5,4,100000,
1127,2220,4,100000,
1128,2891,4,100000,
1129,2653,4,100000,
1130,2574.5,4,100000,
1131,2077.5,4,100000,
1132,2965,4,100000,
1133,2506,4,100000,
1134,2223.5,4,100000,
1135,2942,4,100000,
1136,2655,4,100000,
1137,2359.5,4,100000,
1138,2077.5,4,100000,
1139,2970.5,4,100000,
1140,2512,4,100000,
1141,2227,4,100000,
1142,1927,4,100000,
1143,2653,4,100000,
1144,2357,4,100000,
1145,2073.5,4,100000,
1146,2988,4,100000,
